generations:100,popsPerGen:10000,childrenPerGen:5000,mutationRate:2.000000,strategyLength:15
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.091401,0.485800,0.500300,0.496400,0.499000,0.497800,0.505800,0.496600,0.505900,0.501600,0.503600,0.495400,0.496000,0.490000,0.504500,0.494300
10,0.229310,0.734100,0.732000,0.752700,0.772400,0.762500,0.819800,0.800700,0.783900,0.820200,0.821200,0.826600,0.855700,0.852000,0.890900,0.924500
20,0.334368,0.892200,0.906400,0.905000,0.927800,0.937400,0.936600,0.950200,0.943600,0.955700,0.955000,0.960200,0.964700,0.970300,0.968600,0.975900
30,0.350816,0.937700,0.941800,0.946800,0.944800,0.963700,0.960100,0.961200,0.958300,0.971700,0.970600,0.966800,0.975400,0.979100,0.974600,0.975500
40,0.350932,0.944700,0.952400,0.955900,0.956800,0.960000,0.960000,0.961200,0.964200,0.970600,0.965800,0.971800,0.972000,0.976700,0.977500,0.979900
50,0.355304,0.953100,0.957000,0.963100,0.962200,0.956300,0.963000,0.960100,0.973100,0.970800,0.970100,0.976300,0.970600,0.975700,0.979000,0.979900
60,0.353890,0.947900,0.943400,0.949700,0.958900,0.967700,0.964500,0.963700,0.969500,0.964400,0.968800,0.969300,0.967200,0.976300,0.977200,0.979600
70,0.351991,0.945300,0.949300,0.955600,0.963600,0.956000,0.966500,0.964800,0.967200,0.973600,0.970500,0.971300,0.970600,0.970200,0.981500,0.978000
80,0.352715,0.953900,0.955500,0.951200,0.957300,0.964500,0.961900,0.962200,0.964100,0.969100,0.972200,0.974800,0.970500,0.975900,0.975600,0.976300
90,0.353582,0.950000,0.953100,0.955700,0.960300,0.961700,0.962600,0.963000,0.959000,0.969300,0.971500,0.970300,0.980600,0.975000,0.975000,0.979900
