generations:100,popsPerGen:10000,childrenPerGen:5000,mutationRate:2.000000,strategyLength:15,,,,,,,,,,,,
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.042588,0.4973,0.4982,0.4983,0.5035,0.4944,0.4934,0.4947,0.4991,0.4996,0.5034,0.5027,0.4942,0.4991,0.5095,0.4964
10,0.097645,0.5621,0.6075,0.5838,0.6045,0.6119,0.6506,0.6782,0.7227,0.7643,0.8041,0.8478,0.8748,0.9238,0.9547,0.9692
20,0.136736,0.7148,0.7864,0.7882,0.7681,0.8037,0.8638,0.9071,0.9294,0.9379,0.9647,0.9627,0.9771,0.9754,0.9823,0.9843
30,0.146442,0.8155,0.8584,0.8879,0.8886,0.9188,0.9401,0.9623,0.9659,0.957,0.9685,0.9752,0.9719,0.9822,0.9799,0.9832
40,0.149298,0.882,0.8803,0.9212,0.9288,0.9402,0.9548,0.9535,0.9636,0.9678,0.9721,0.9727,0.9727,0.9802,0.9828,0.9811
50,0.148789,0.8852,0.8909,0.9309,0.9255,0.94,0.9473,0.9618,0.9606,0.9683,0.9733,0.9708,0.9784,0.9811,0.9807,0.9838
60,0.146127,0.877,0.9099,0.928,0.9261,0.9395,0.9509,0.9591,0.9607,0.9613,0.9748,0.9722,0.9748,0.9765,0.9829,0.9835
70,0.148895,0.8964,0.9175,0.9194,0.9468,0.9429,0.9513,0.9652,0.9639,0.9657,0.9689,0.9718,0.977,0.9817,0.9823,0.9837
80,0.147651,0.8905,0.911,0.9291,0.9401,0.9431,0.9481,0.9551,0.9584,0.9695,0.9708,0.972,0.9724,0.981,0.9824,0.9822
90,0.150395,0.8976,0.9149,0.9224,0.9422,0.9438,0.9526,0.9619,0.9601,0.967,0.9698,0.9725,0.977,0.9791,0.9817,0.9827
