generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:8
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.157986,0.495350,0.499063,0.502738,0.498800,0.502137,0.499213,0.497913,0.498988,0.498938,0.501925,0.499638,0.500438,0.498988,0.499300,0.504038
10,0.371308,0.630588,0.650500,0.707763,0.622700,0.608125,0.612750,0.628413,0.621563,0.638175,0.656425,0.669625,0.687488,0.753763,0.701875,0.989675
20,0.379372,0.653562,0.672238,0.760725,0.659763,0.597713,0.634987,0.639838,0.645725,0.656150,0.672338,0.674988,0.692625,0.764638,0.679013,0.989650
30,0.382880,0.672975,0.665238,0.769950,0.658413,0.576850,0.642200,0.621375,0.658425,0.642963,0.687788,0.669875,0.693075,0.769875,0.663063,0.990163
40,0.383790,0.666587,0.662075,0.784725,0.652188,0.551950,0.646800,0.605138,0.671325,0.634925,0.692888,0.669762,0.696738,0.768000,0.656738,0.989550
50,0.387177,0.670900,0.659938,0.785350,0.642788,0.534450,0.660388,0.594762,0.685800,0.626675,0.700675,0.663488,0.688013,0.771963,0.646888,0.989462
60,0.387854,0.674650,0.653888,0.795025,0.637738,0.529525,0.675575,0.584638,0.699013,0.613988,0.711350,0.653575,0.696750,0.772400,0.648650,0.989675
70,0.388330,0.683713,0.642900,0.805263,0.632550,0.523850,0.674938,0.568563,0.703488,0.603125,0.722175,0.658363,0.689025,0.775050,0.650925,0.988737
80,0.389368,0.699400,0.636113,0.811575,0.629638,0.527288,0.683075,0.557538,0.719687,0.591275,0.732300,0.647975,0.696250,0.768950,0.648087,0.989063
90,0.388247,0.711038,0.632625,0.815788,0.618787,0.525113,0.687038,0.554150,0.736550,0.573263,0.743138,0.640238,0.708412,0.761063,0.655125,0.989213
100,0.389599,0.709375,0.628937,0.823725,0.616875,0.522613,0.697362,0.552400,0.729250,0.557738,0.755200,0.638887,0.705688,0.754175,0.665450,0.989900
110,0.389182,0.710363,0.626088,0.823900,0.614413,0.522488,0.705850,0.541613,0.736063,0.544175,0.763750,0.639637,0.714250,0.739525,0.663788,0.989675
120,0.388991,0.712413,0.622775,0.823500,0.610613,0.521137,0.715250,0.527163,0.741025,0.536938,0.772788,0.643550,0.711600,0.733375,0.668275,0.989463
130,0.391097,0.714975,0.625225,0.822963,0.609600,0.520663,0.715400,0.525825,0.748263,0.531150,0.781000,0.642325,0.718563,0.733525,0.662813,0.989488
140,0.390352,0.716438,0.625075,0.826263,0.608675,0.514887,0.720813,0.513950,0.756675,0.523613,0.779550,0.634388,0.714763,0.730462,0.671063,0.988875
150,0.389584,0.717100,0.623025,0.825063,0.610888,0.508825,0.727675,0.512563,0.761925,0.518775,0.782362,0.632937,0.712475,0.727125,0.670525,0.988925
160,0.390836,0.716500,0.625175,0.823587,0.610800,0.516100,0.726863,0.505338,0.771225,0.509113,0.792875,0.619825,0.714888,0.718950,0.683975,0.988850
170,0.390839,0.716038,0.623300,0.821563,0.611913,0.519363,0.723913,0.503900,0.778688,0.498375,0.798988,0.620763,0.713100,0.716725,0.686550,0.989750
180,0.390461,0.715038,0.623475,0.819663,0.610213,0.518100,0.720500,0.505963,0.779300,0.496825,0.794450,0.614600,0.721038,0.708163,0.691525,0.989462
190,0.390098,0.715450,0.625625,0.821388,0.607925,0.513575,0.730538,0.500563,0.785763,0.483788,0.798062,0.616275,0.720838,0.706363,0.688213,0.989138
