generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:6
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.160791,0.501317,0.503417,0.497800,0.495967,0.498917,0.501917,0.499433,0.502950,0.503367,0.499783,0.500400,0.500350,0.499250,0.501000,0.496083
10,0.376570,0.437850,0.571700,0.511833,0.539083,0.514867,0.555283,0.559583,0.586733,0.588500,0.630883,0.647883,0.685783,0.723883,0.751500,0.989683
20,0.385762,0.366833,0.574000,0.507283,0.580750,0.481183,0.577033,0.560633,0.600583,0.592217,0.643600,0.653417,0.715683,0.707033,0.765867,0.988950
30,0.388398,0.361917,0.589817,0.498850,0.597617,0.445850,0.596050,0.544533,0.628800,0.572017,0.646750,0.646617,0.733317,0.679117,0.795900,0.988767
40,0.391565,0.369150,0.589900,0.485083,0.601367,0.427883,0.615117,0.505100,0.656933,0.536050,0.672183,0.617650,0.749867,0.653450,0.818500,0.989700
50,0.393193,0.373217,0.575150,0.489200,0.614350,0.410867,0.634133,0.492550,0.674233,0.527950,0.693567,0.589200,0.765450,0.616517,0.835483,0.989817
60,0.394094,0.376700,0.566267,0.499750,0.624450,0.395433,0.646550,0.480550,0.700583,0.506317,0.711083,0.563617,0.783350,0.580383,0.848300,0.989333
70,0.395884,0.373333,0.573733,0.499367,0.624833,0.393400,0.661983,0.470200,0.707783,0.489667,0.727383,0.538367,0.792233,0.559733,0.871050,0.989367
80,0.395600,0.383217,0.575350,0.486167,0.622150,0.388467,0.674783,0.462217,0.712667,0.470600,0.737050,0.526350,0.801633,0.529917,0.885567,0.989217
90,0.397330,0.388250,0.588417,0.494000,0.613633,0.386250,0.676283,0.454917,0.732767,0.459967,0.738650,0.526883,0.805483,0.506750,0.897350,0.989133
100,0.398179,0.393067,0.586567,0.496500,0.622533,0.393917,0.673833,0.448050,0.741850,0.452400,0.741733,0.505100,0.808483,0.484733,0.910700,0.989483
110,0.397312,0.401017,0.590483,0.492067,0.617600,0.402867,0.668067,0.444600,0.753800,0.448100,0.750033,0.502550,0.805783,0.477933,0.917050,0.989300
120,0.398837,0.404650,0.590400,0.491300,0.617817,0.412667,0.671350,0.434817,0.757433,0.437917,0.754900,0.492133,0.815800,0.459117,0.922633,0.989133
130,0.398899,0.410467,0.589400,0.497500,0.617983,0.413250,0.662283,0.433367,0.754800,0.436583,0.749583,0.486900,0.816217,0.459917,0.923317,0.988433
140,0.399594,0.414783,0.594967,0.503167,0.619967,0.417100,0.668883,0.430100,0.760417,0.436183,0.764017,0.481267,0.820717,0.454867,0.924500,0.988783
150,0.398181,0.420500,0.602350,0.502300,0.615767,0.433183,0.681950,0.426200,0.744150,0.445450,0.755083,0.484650,0.826750,0.445833,0.920417,0.988767
160,0.399789,0.422850,0.610033,0.501333,0.605000,0.426767,0.688267,0.426867,0.740033,0.447417,0.763467,0.479750,0.821550,0.443883,0.921383,0.989533
170,0.399569,0.429417,0.613367,0.495967,0.612683,0.419767,0.684967,0.433850,0.732000,0.446617,0.758000,0.465650,0.825383,0.436217,0.923167,0.988317
